"Forest","District","RAWS_station","day_of_yr","snow_flag","date","prop_inRx","prop_BD","prop_PL","prop_BW"
"Klamath National Forest","Goosenest Ranger District","Juanita","01-Jan","no",2020-01-01,0.333333333333333,0.333333333333333,1,0
"Klamath National Forest","Goosenest Ranger District","Juanita","01-Jan","yes",2020-01-01,0.111111111111111,0.333333333333333,1,0
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","01-Jan","no",2020-01-01,0.5,0.4,1,0.05
"Klamath National Forest","Goosenest Ranger District","Van Bremmer","01-Jan","yes",2020-01-01,0.05,0.4,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","01-Jan","no",2020-01-01,0.272727272727273,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Dutch Indy","01-Jan","yes",2020-01-01,0.181818181818182,0.272727272727273,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","01-Jan","no",2020-01-01,0.1875,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp","Slater Butte","01-Jan","yes",2020-01-01,0,0.3125,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","01-Jan","no",2020-01-01,0.333333333333333,0.388888888888889,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Collins Baldy","01-Jan","yes",2020-01-01,0.166666666666667,0.388888888888889,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","01-Jan","no",2020-01-01,0.333333333333333,0.428571428571429,1,0.0476190476190476
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Oak Knoll","01-Jan","yes",2020-01-01,0.238095238095238,0.428571428571429,1,0
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","01-Jan","no",2020-01-01,0.3125,0.3125,1,0.0625
"Klamath National Forest","Happy Oak Ranger District  - Oak Knoll","Somes Bar","01-Jan","yes",2020-01-01,0.25,0.3125,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","01-Jan","no",2020-01-01,0.315789473684211,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Blue Ridge","01-Jan","yes",2020-01-01,0.0526315789473684,0.421052631578947,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","01-Jan","no",2020-01-01,0.333333333333333,0.388888888888889,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Collins Baldy","01-Jan","yes",2020-01-01,0.166666666666667,0.388888888888889,1,0
"Klamath National Forest","Salmon Scott River Ranger District - Salmon River","Sawyers Bar","01-Jan","no",2020-01-01,0.111111111111111,0.444444444444444,1,0
