"Forest","District","RAWS_station_nmbr","RAWS_station","snow_flag","month","streak_max_chr","mean_bw","se_bw"
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jan","2 to 3 days",0.227272727272727,0.130464010094542
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jan","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jan","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Feb","2 to 3 days",0.590909090909091,0.16978584561938
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Feb","4 to 5 days",0.181818181818182,0.106830845707819
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Feb","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Mar","2 to 3 days",0.909090909090909,0.236396934051533
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Mar","4 to 5 days",0.181818181818182,0.106830845707819
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Mar","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Apr","2 to 3 days",1.22727272727273,0.286279448904412
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Apr","4 to 5 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Apr","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","May","2 to 3 days",1.36363636363636,0.26762911716145
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","May","4 to 5 days",0.318181818181818,0.121076764250623
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","May","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jun","2 to 3 days",1.09090909090909,0.27055411241558
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jun","4 to 5 days",0.272727272727273,0.0971859061499725
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jun","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jul","2 to 3 days",0.5,0.170940864689457
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jul","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Jul","6 days or more",0.136363636363636,0.0748867700952649
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Aug","2 to 3 days",0.227272727272727,0.112658127096737
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Aug","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Aug","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Sep","2 to 3 days",0.454545454545455,0.14305378044899
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Sep","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Sep","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Oct","2 to 3 days",0.863636363636364,0.230709939002091
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Oct","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Oct","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Nov","2 to 3 days",0.5,0.157771273975255
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Nov","4 to 5 days",0.136363636363636,0.0748867700952649
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Nov","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Dec","2 to 3 days",0.272727272727273,0.117363131703255
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Dec","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no","Dec","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jan","2 to 3 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jan","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jan","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Feb","2 to 3 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Feb","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Feb","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Mar","2 to 3 days",0.590909090909091,0.234096688030211
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Mar","4 to 5 days",0.136363636363636,0.0996846661443243
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Mar","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Apr","2 to 3 days",1.09090909090909,0.278439458543481
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Apr","4 to 5 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Apr","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","May","2 to 3 days",1.40909090909091,0.276489205922646
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","May","4 to 5 days",0.318181818181818,0.121076764250623
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","May","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jun","2 to 3 days",1.09090909090909,0.27055411241558
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jun","4 to 5 days",0.272727272727273,0.0971859061499725
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jun","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jul","2 to 3 days",0.5,0.170940864689457
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jul","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Jul","6 days or more",0.136363636363636,0.0748867700952649
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Aug","2 to 3 days",0.227272727272727,0.112658127096737
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Aug","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Aug","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Sep","2 to 3 days",0.454545454545455,0.14305378044899
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Sep","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Sep","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Oct","2 to 3 days",0.863636363636364,0.230709939002091
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Oct","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Oct","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Nov","2 to 3 days",0.409090909090909,0.156519101210311
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Nov","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Nov","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Dec","2 to 3 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Dec","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes","Dec","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jan","2 to 3 days",0.545454545454545,0.182897230946126
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jan","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jan","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Feb","2 to 3 days",0.818181818181818,0.169495861042874
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Feb","4 to 5 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Feb","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Mar","2 to 3 days",0.727272727272727,0.163588256516807
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Mar","4 to 5 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Mar","6 days or more",0.0909090909090909,0.0909090909090909
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Apr","2 to 3 days",1.27272727272727,0.280551545385622
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Apr","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Apr","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","May","2 to 3 days",1,0.254823595718813
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","May","4 to 5 days",0.0909090909090909,0.0909090909090909
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","May","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jun","2 to 3 days",1.5,0.306848242875602
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jun","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jun","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jul","2 to 3 days",0.272727272727273,0.0971859061499725
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jul","4 to 5 days",0.136363636363636,0.0748867700952649
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Jul","6 days or more",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Aug","2 to 3 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Aug","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Aug","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Sep","2 to 3 days",0.590909090909091,0.142018395691119
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Sep","4 to 5 days",0.181818181818182,0.106830845707819
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Sep","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Oct","2 to 3 days",0.954545454545455,0.191567612958229
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Oct","4 to 5 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Oct","6 days or more",0.136363636363636,0.0996846661443243
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Nov","2 to 3 days",0.545454545454545,0.170652842808892
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Nov","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Nov","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Dec","2 to 3 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Dec","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no","Dec","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jan","2 to 3 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jan","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jan","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Feb","2 to 3 days",0.136363636363636,0.0996846661443243
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Feb","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Feb","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Mar","2 to 3 days",0.272727272727273,0.117363131703255
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Mar","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Mar","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Apr","2 to 3 days",0.909090909090909,0.27055411241558
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Apr","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Apr","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","May","2 to 3 days",1,0.254823595718813
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","May","4 to 5 days",0.0909090909090909,0.0909090909090909
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","May","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jun","2 to 3 days",1.5,0.306848242875602
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jun","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jun","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jul","2 to 3 days",0.272727272727273,0.0971859061499725
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jul","4 to 5 days",0.136363636363636,0.0748867700952649
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Jul","6 days or more",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Aug","2 to 3 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Aug","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Aug","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Sep","2 to 3 days",0.590909090909091,0.142018395691119
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Sep","4 to 5 days",0.181818181818182,0.106830845707819
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Sep","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Oct","2 to 3 days",0.954545454545455,0.191567612958229
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Oct","4 to 5 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Oct","6 days or more",0.136363636363636,0.0996846661443243
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Nov","2 to 3 days",0.272727272727273,0.117363131703255
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Nov","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Nov","6 days or more",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Dec","2 to 3 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Dec","4 to 5 days",0,0
"Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","yes","Dec","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jan","2 to 3 days",0.318181818181818,0.137799082618156
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jan","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jan","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Feb","2 to 3 days",0.227272727272727,0.112658127096737
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Feb","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Feb","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Mar","2 to 3 days",0.409090909090909,0.142018395691119
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Mar","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Mar","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Apr","2 to 3 days",0.727272727272727,0.22964133696753
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Apr","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Apr","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","May","2 to 3 days",0.590909090909091,0.204485320646008
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","May","4 to 5 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","May","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jun","2 to 3 days",0.681818181818182,0.212043894381402
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jun","4 to 5 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jun","6 days or more",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jul","2 to 3 days",0.227272727272727,0.130464010094542
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jul","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Jul","6 days or more",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Aug","2 to 3 days",0.272727272727273,0.134547794527446
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Aug","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Aug","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Sep","2 to 3 days",0.272727272727273,0.134547794527446
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Sep","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Sep","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Oct","2 to 3 days",0.636363636363636,0.154939655135699
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Oct","4 to 5 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Oct","6 days or more",0.0909090909090909,0.0909090909090909
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Nov","2 to 3 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Nov","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Nov","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Dec","2 to 3 days",0.227272727272727,0.0914486154730632
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Dec","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","no","Dec","6 days or more",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jan","2 to 3 days",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jan","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jan","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Feb","2 to 3 days",0.136363636363636,0.0748867700952649
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Feb","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Feb","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Mar","2 to 3 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Mar","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Mar","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Apr","2 to 3 days",0.136363636363636,0.0748867700952649
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Apr","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Apr","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","May","2 to 3 days",0.409090909090909,0.125857937316941
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","May","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","May","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jun","2 to 3 days",0.681818181818182,0.212043894381402
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jun","4 to 5 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jun","6 days or more",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jul","2 to 3 days",0.227272727272727,0.130464010094542
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jul","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Jul","6 days or more",0.0909090909090909,0.0627332326674867
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Aug","2 to 3 days",0.272727272727273,0.134547794527446
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Aug","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Aug","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Sep","2 to 3 days",0.272727272727273,0.134547794527446
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Sep","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Sep","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Oct","2 to 3 days",0.636363636363636,0.154939655135699
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Oct","4 to 5 days",0.181818181818182,0.0841654636156865
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Oct","6 days or more",0.0909090909090909,0.0909090909090909
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Nov","2 to 3 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Nov","4 to 5 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Nov","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Dec","2 to 3 days",0.0454545454545455,0.0454545454545455
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Dec","4 to 5 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40225,"Slater Butte","yes","Dec","6 days or more",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no","Jan","2 to 3 days",0,0
"Klamath National Forest","Happy Oak Ranger District  - Happy Camp",40246,"Dutch Indy","no","Jan","4 to 5 days",0,0
