"month","Forest","District","RAWS_station_nmbr","RAWS_station","snow_flag","year","bw_count"
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",1999,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2000,1
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2001,2
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2002,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2003,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2004,3
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2005,6
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2006,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2007,8
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2008,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2009,2
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2010,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2011,2
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2012,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2013,1
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2014,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2015,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2016,1
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2017,3
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2018,2
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2019,3
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","no",2020,1
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",1999,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2000,1
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2001,2
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2002,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2003,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2004,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2005,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2006,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2007,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2008,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2009,1
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2010,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2011,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2012,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2013,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2014,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2015,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2016,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2017,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2018,2
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2019,0
"Jan","Klamath National Forest","Goosenest Ranger District",40240,"Juanita","yes",2020,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",1999,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2000,5
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2001,9
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2002,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2003,0
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2004,4
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2005,4
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2006,4
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2007,9
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2008,2
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2009,2
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2010,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2011,1
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2012,4
"Jan","Klamath National Forest","Goosenest Ranger District",40243,"Van Bremmer","no",2013,3
